ilan,aciklama,cv_id,insan_sirasi
Job 10 (Sistem ve Ağ Yöneticisi),"Şirket içi sunucu altyapısını girişecek, yedekleme (backup) süreçlerini yönetecek, Office 365 yönetimi ve LAN/WAN kurulumu yapabilen bilgi işlem sorumlusu.",10247517,1
Job 10 (Sistem ve Ağ Yöneticisi),"Şirket içi sunucu altyapısını girişecek, yedekleme (backup) süreçlerini yönetecek, Office 365 yönetimi ve LAN/WAN kurulumu yapabilen bilgi işlem sorumlusu.",38753827,2
Job 10 (Sistem ve Ağ Yöneticisi),"Şirket içi sunucu altyapısını girişecek, yedekleme (backup) süreçlerini yönetecek, Office 365 yönetimi ve LAN/WAN kurulumu yapabilen bilgi işlem sorumlusu.",10553553,3
Job 10 (Sistem ve Ağ Yöneticisi),"Şirket içi sunucu altyapısını girişecek, yedekleme (backup) süreçlerini yönetecek, Office 365 yönetimi ve LAN/WAN kurulumu yapabilen bilgi işlem sorumlusu.",24913648,4
Job 10 (Sistem ve Ağ Yöneticisi),"Şirket içi sunucu altyapısını girişecek, yedekleme (backup) süreçlerini yönetecek, Office 365 yönetimi ve LAN/WAN kurulumu yapabilen bilgi işlem sorumlusu.",13836471,5
Job 10 (Sistem ve Ağ Yöneticisi),"Şirket içi sunucu altyapısını girişecek, yedekleme (backup) süreçlerini yönetecek, Office 365 yönetimi ve LAN/WAN kurulumu yapabilen bilgi işlem sorumlusu.",25128608,6
Job 10 (Sistem ve Ağ Yöneticisi),"Şirket içi sunucu altyapısını girişecek, yedekleme (backup) süreçlerini yönetecek, Office 365 yönetimi ve LAN/WAN kurulumu yapabilen bilgi işlem sorumlusu.",20457611,7
Job 2 (İK Uzmanı),"Personel özlük işleri, bordrolama ve SGK süreçleri konusunda deneyimli, yıllık izin takibi ve mülakat organizasyonlarını yürütecek İnsan Kaynakları Uzmanı arıyoruz.",72231872,1
Job 2 (İK Uzmanı),"Personel özlük işleri, bordrolama ve SGK süreçleri konusunda deneyimli, yıllık izin takibi ve mülakat organizasyonlarını yürütecek İnsan Kaynakları Uzmanı arıyoruz.",10694288,2
Job 2 (İK Uzmanı),"Personel özlük işleri, bordrolama ve SGK süreçleri konusunda deneyimli, yıllık izin takibi ve mülakat organizasyonlarını yürütecek İnsan Kaynakları Uzmanı arıyoruz.",25676643,3
